gcode,ReleaseDate,ListPrice,Brand,Series Title,Character Name,Sculptor,Scale,Size,Material
FIGURE-006706,2014-11-01 00:00:00,1598,WAVE,Arpeggio of Blue Steel: Ars Nova,Takao,,1/12,Approx. H5.5cm,
FIGURE-033235,2018-06-01 00:00:00,14904,Kalmia Project,,,saori soulit,1/8,Approx. H30cm (bow included) Approx. W25cm,"PVC, ABS"
FIG-MOE-4350,2016-06-01 00:00:00,7344,Aizu Project,"""Evangelion"" Series",Rei Ayanami,Mawaru Oukoku ,1/8,Approx. H11cm,
FIGURE-048316,2020-05-01 00:00:00,14080,Emontoys,Nitroplus,Super Sonico,Youhei Katagiri DMs,1/7,Approx. H18cm (including base),"PVC, ABS"
FIGURE-049424,2019-10-01 00:00:00,14080,Union Creative,,,M.I.C. ,,Approx. H140mm,"ATBC-PVC, ABS"
FIGURE-038071,2018-08-01 00:00:00,13750,Aquamarine,Kiniro Mosaic,Alice Cartelet,jarel ,1/8,Approx. H160mm (including base),ABS & PVC
FIG-MOE-2315,2011-03-01 00:00:00,5940,WAVE,Fortune Arterial,Haruna Yuki,zenko Iousen,1/8,Approx. H190mm,
FIG-MOE-1286,2010-02-01 00:00:00,5965,COSPA,,,,1/6,,
FIGURE-057286,2020-11-01 00:00:00,16280,Q-six,Eiyuu*Senki,Vlad Tepes,Justice MouseUnit,1/6,Approx. 12.5cm,PVC
FIGURE-050472,2020-04-01 00:00:00,18150,Daiki Kogyo,,,ORIGO-TOICHI ,1/7,Approx. H250mm,PVC
FIGURE-002822,2014-06-01 00:00:00,16200,Daiki Kogyo,ILIAS -Kyouen no Utage-,Sumire Fiard,Daichi Kazeno Laboratory D,1/5,Approx. H220mm,
FIG-MOE-6038,2013-01-01 00:00:00,10584,,Gal Mako,Avatar of Satanachia,Vispo ,1/6,Approx. H25cm,PVC
FIG-MOE-1580,2010-04-01 00:00:00,3666,Good Smile Company,"""VOCALOID"" Series",Megurine Luka,Fumitoshi Nakamura GSC 3D Team,,Approx. H250mm (non-scale),
FIG-MOE-3891,2011-11-01 00:00:00,7344,MegaHouse,THE IDOLM@STER (THE IDOLMASTER),Haruka Amami,Nekomaru Yamanekotei -nekohouse-,1/7,Approx. H210mm,
FIGURE-006049,2014-07-01 00:00:00,9504,Plum,RO-KYU-BU!,Tomoka Minato,,1/7,Approx. 235mm (including base),
FIGURE-060239,2020-11-01 00:00:00,15400,Chara-ani,"""Date A Live"" Series",Kurumi Tokisaki,Onda ,1/7,Approx. H230mm,ABS & PVC (*Non-phthalate Ester)
FIG-MOE-9256,2014-02-01 00:00:00,9240,,Tales of Vesperia,Estellise Sidos Heurassein(Estelle),"Teruyuki, Hideo Amamiya ",1/8,Mini Figure Approx. H55mm,
FIGURE-027239,2017-10-01 00:00:00,14904,Phat Company,Kantai Collection -Kan Colle-,Shimakaze,Patton ,1/7,Approx. H220mm,
HOB-FIG-4068,2006-12-01 00:00:00,5965,OrchidSeed,Jingai Makyo,Ignis,Satoshi Ishiyama ,1/7,Approx. H270mm,
FIG-MOE-1408,2010-05-01 00:00:00,18480,SkyTube,,,,1/6,Approx. H140mm,
FIGURE-030958,2018-06-01 00:00:00,18140,Max Factory,"""VOCALOID"" Series",Hatsune Miku,Yusuke Masaki ,1/7,Approx. H230mm,ABS & PVC
FIG-MOE-1342,2010-04-01 00:00:00,4104,WAVE,,,Yozo Ogawa ,1/10,Approx. H160mm,
FIGURE-053031,2020-05-01 00:00:00,15180,Alphamax,Date A Live,Kurumi Tokisaki,MOON ,1/7,Approx. H24cm (excluding base),PVC
FIGURE-054434,2020-10-01 00:00:00,27500,FREEing,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Hestia,FREEing ,1/4,Approx. H320mm,PVC
FIG-MOE-1198,2010-02-01 00:00:00,12960,WAVE,,,Misumaru Mashii ,1/5,Approx. H150mm,"PVC, Partly ABS"
FIG-MOE-2534,2011-10-01 00:00:00,8947,OrchidSeed,F.S ISM,Princess Bitch,OSIRIS Heavy Gauge,1/7,"Approx. H13cm, L14.5cm",
FIG-MOE-05867-R,2012-05-01 00:00:00,8381,MegaHouse,Queen's Blade Rebellion,Liliana,Norio Kibayashi ,1/8,Approx. H210mm,
FIG-MOE-03759-R,2010-04-01 00:00:00,3280,Banpresto,Code Geass: Lelouch of the Rebellion R2,C.C.,UPLARK ,,Approx. H230mm,
FIGURE-032971,2018-02-01 00:00:00,13824,Q-six,Maitetsu,Paulette Hinai,Takeshi Miyagawa T's system.,1/6,Approx. 25cm (hat included),PVC
HOB-FIG-4748,2008-09-01 00:00:00,4860,GDH,SoltyRei,Rose Anderson,Koichi Katsushima MINE,,Approx. H18cm,ATBC-PVC
FIG-MOE-0767,2012-10-01 00:00:00,7480,Griffon Enterprises,Touhou Project,Reimu Hakurei,i-con ,1/8,Approx. H19cm,
FIGURE-024402,2017-01-01 00:00:00,13500,Milestone,Ao no Kanata no Four Rhythm,Mashiro Arisaka,,1/7,Approx. H245mm,"PVC, ABS, Silicone *Non-phthalate ester."
FIG-MOE-8049,2013-05-01 00:00:00,9051,,Bastard!!,Kai Harn,Ken Yokota ,1/8,Approx. H150mm,
FIG-MOE-5340,2012-06-01 00:00:00,8424,MegaHouse,Atelier Rorona: Alchemist of Arland,Rororina Fryxell(Rorona),"Norio Kibayashi, PINPOINT ",1/8,Approx. H220mm,
FIGURE-031664,2017-11-01 00:00:00,14580,Broccoli,Kantai Collection -Kan Colle-,Shigure,Kaoru Sakaki ,1/8,Approx. H210mm,ABS & PVC
HOB-FIG-8067,2008-04-01 00:00:00,6480,Atelier Sai,Mahou Senshi Sweet Knights,Sweet Lip,,1/10,Approx. L160mm,
FIGURE-055459,2020-10-01 00:00:00,14800,NUVIS,YuNi,YuNi,,1/7,Approx. L220mm,PVC
HOB-FIG-6663,2007-11-01 00:00:00,7776,Atelier Sai,The Melancholy of Haruhi Suzumiya,Haruhi Suzumiya,,1/6,Approx. H26cm,"PVC, ABS"
FIGURE-030417,2017-12-01 00:00:00,19580,Aizu Project,"""Ikkitousen"" Series",Chubo Sonken,Takuaki Tsushima Fig.1,1/6,Approx. H27cm,
FIGURE-033419,2018-08-01 00:00:00,17380,Orca Toys,"""Ikkitousen"" Series",Unchou Kan-u,Tsuyoshi Takahashi Yi qi yon hua yi bei ju,1/6,Approx. L330mm,
FIG-MOE-9252,2014-01-01 00:00:00,4104,amiami,Humanity Has Declined (Jinrui wa Suitaishimashita),Fairies,Hajime Kouzuki Little pink summer,1/2,Approx. H50mm,"ABS, PVC"
FIG-MOE-2423,2011-05-01 00:00:00,7480,Plum,ToHeart2,Konomi Yuzuhara,,1/7,Approx. H220mm,
FIGURE-052680,2020-01-01 00:00:00,14850,Union Creative,Senran Kagura,Yumi,Design COCO ,1/6,Main Part: Approx. H180mm,Main Part: ATBC-PVC / Base: ABS
FIG-MOE-0538,2012-04-01 00:00:00,4104,Square Enix,,,,,Approx. H207mm (non-scale),
FIG-MOE-0620,2009-08-01 00:00:00,3780,WAVE,Lucky Star,Kagami Hiiragi,Bunmei ,1/12,Approx. H130mm,
HOB-FIG-4613A,2007-07-01 00:00:00,3908,Toy's Planning,He Is My Master,Mitsuki Sawatari,,1/8,Approx. H150mm,
FIG-MOE-0373,2009-02-01 00:00:00,7480,Beat,Gion no Yakata,Kiryuu Asheryka Natsuki,Toria Cherry Blossom,1/7,Approx. H22cm,PVC (Partly ABS)
FIG-MOE-2441,2012-04-01 00:00:00,7480,Kotobukiya,ToHeart2,Silfa(HMX-17c),Naoki Nishimura Pilot,1/8,Approx. H220mm,
HOB-FIG-2964A,2006-03-01 00:00:00,4104,Konami,Negima! Magister Negi Magi,Asuna Kagurazaka,,,,
FIG-MOE-2424,2011-08-01 00:00:00,4104,WAVE,Fortune Arterial,Haruna Yuki,HOKUSOH ,1/10,Approx. H160mm,
FIGURE-119604,2021-09-01 00:00:00,16800,Good Smile Company,Kirara Fantasia,Cocoa,JK Good Smile Shanghai,1/7,Approx. H225mm,ABS & PVC
HOB-FIG-9286,2008-10-01 00:00:00,13165,Enterbrain,Soul Calibur,Ivy,Eiji Nakayama ,1/6,Approx. 30cm,"PVC, ABS, Brass"
FIG-MOE-05538-R,2012-05-01 00:00:00,1380,Banpresto,"""Monogatari"" Series",Nadeko Sengoku,Tehu Kitukawa Kitsutefu,,Approx. H200mm,
FIGURE-031300-R,2017-07-01 00:00:00,1980,Banpresto,Sword Art Online,Asuna Yuuki(Asuna/Titania),,,Approx. 17cm,
HOB-FIG-4552,2007-04-01 00:00:00,6994,OrchidSeed,Witchblade,Masane Amaha,Satoshi Ishiyama ,1/6,Approx. H400mm including Blade,
FIGURE-055562,2020-06-01 00:00:00,12980,MegaHouse,"""Dragon Ball"" Series",Cheelai,Ryutaro Kaminaga Yamanekotei -nekohouse-,,Approx. 17cm,
FIGURE-055601,2020-09-01 00:00:00,18920,Myethos,Honor of Kings (Wangzhe Rongyao),Wang Zhaojun,Myethos ,1/7,Approx. H310mm,ABS & PVC & Metal
FIG-MOE-4933,2011-12-01 00:00:00,16280,A+,The Qwaser of Stigmata,Tomo Yamanobe,Ryuusuke ,1/4.5,Approx. 34.5 x 14.5 x 8cm,Polyresin/ Apron: ATBC-PVC
HOB-FIG-5156A,2007-08-01 00:00:00,5378,Chrono Gate,Strain: Strategic Armored Infantry,Sara Werec,Hirotoshi Nakamura ,1/8,19cm ,PVC/ Base: ABS
FIGURE-004739-R,2014-02-01 00:00:00,4620,WAVE,Ginga Kikotai Majestic Prince,Rin Suzukaze,Ken Kawanishi ,1/10,Approx. H165mm,
HOB-FIG-5008-R,2007-05-01 00:00:00,4620,Kotobukiya,Ikkitousen (Battle Vixens),Hakufu Sonsaku,Yu Nakajima ,1/8,Approx. 220mm,PVC
FIGURE-019116,2016-10-01 00:00:00,13824,OrchidSeed,The Fruit of Grisaia (Grisaia no Kajitsu),Yumiko Sakaki,Minheru Blond Parrot,1/7,Approx. H265mm,
FIG-MOE-3822,2011-10-01 00:00:00,7992,Griffon Enterprises,MM!,Mio Isurugi,Inumaru ,1/7,Approx. H25.5cm,
FIGURE-118316,2021-01-01 00:00:00,12980,MegaHouse,Dr. STONE,Kohaku,Nekomaru Yamanekotei -nekohouse-,,Approx. H170mm,"PVC, ABS"
FIGURE-027079-R,2017-01-01 00:00:00,780,SEGA Interactive,"""Love Live!"" Series",You Watanabe,,,Approx. H21.5cm,
HOB-FIG-6339,2008-04-01 00:00:00,6076,Max Factory,LoveDol -Lovely Idol-,,Hironori Tokunaga ,1/8,Approx. H200mm,
FIGURE-010854-R,2015-10-01 00:00:00,11880,Alter,"""Fate"" Series",Nero Claudius(Saber/Caster),Ryo Hashimoto ,1/6,Approx. H180mm,
FIG-MOE-6684,2012-12-01 00:00:00,18647,FREEing,Magical Girl Lyrical Nanoha,Nanoha Takamachi,FREEing ,1/4,Approx. H420mm,
FIG-MOE-9210,2013-10-01 00:00:00,10260,Alphamax,Haganai NEXT (Boku wa Tomodachi ga Sukunai NEXT),Sena Kashiwazaki,MOON ,1/6,Approx. H15.6cm,
HOB-FIG-8521,2008-06-01 00:00:00,7344,YAMATO,,,Ikuma Kuramoto Millimeter Modeling,1/6,Approx. H135mm,"PVC, ABS"
FIGURE-013591,2019-01-01 00:00:00,11880,Flare,"""Fate"" Series",Tamamo no Mae(Caster/Lancer),French Doll Cerberus Project TM,,Approx. H250mm,
FIGURE-009276,2015-05-01 00:00:00,14904,,Strike Witches the Movie,Heidemarie W. Schnaufer,Usagi+DUTCH ,1/8,Approx. 240mm (including base),
FIGURE-049917,2019-10-01 00:00:00,9350,Vertex,"""Neptunia"" Series",Neptune(Purple Heart/Next Purple),NEQ ,,Approx. H180mm (non-scale),PVC/ABS
FIG-MOE-2554,2011-10-01 00:00:00,13824,YAMATO,Satanikus ENMA Kerberos,Yukihime,Toui Fujiura TOY'S Brand,,Approx. 235mm,
FIGURE-060282,2021-07-01 00:00:00,17380,ques Q,Kantai Collection -Kan Colle-,Hibiki,"Deru, GEN ",,Approx. H18cm,
FIG-MOE-4265,2012-01-01 00:00:00,540,former SEGA,Bakemonogatari,Karen Araragi,,,Approx. 7cm,
FIGURE-030837,2017-09-01 00:00:00,12960,Kaitendo,"""High School D x D"" Series",Koneko Toujou,Osamu Ryuzaki ,1/7,Approx. H12cm,
FIGURE-056392,2020-08-01 00:00:00,16500,Union Creative,,,Akabeko ,,Approx. H140mm,"ATBC-PVC, ABS, Polyester"
FIG-MOE-0540,2009-05-01 00:00:00,17380,Aizu Project,Ikkitousen (Battle Vixens),Shimei Ryomou,Atenna ,1/7,,
HOB-FIG-2634,2009-03-01 00:00:00,4536,YAMATO,Stellvia of the Universe,Shima Katase,Toria Cherry Blossom,,Approx. H200mm,
FIG-MOE-0101,2013-01-01 00:00:00,6685,Good Smile Company,Kara no Kyokai,Shiki Ryougi,Nanashi ,1/7,Approx. H230mm,
FIGURE-029470,2017-12-01 00:00:00,16280,Phat Company,"""Fate"" Series",Mordred(Saber/Rider/Saber of Red),"KAKU, Koudai Abe, Mitsuru Saito ",1/8,Approx. H320mm,
HOB-FIG-2344,2005-07-01 00:00:00,4320,Good Smile Company,School Rumble,Tenma Tsukamoto,Hironori Tokunaga ,1/8,,
HOB-FIG-2742,2005-10-01 00:00:00,3300,Pleasant Angels,Lineage,Dwarf,,,Approx. 13cm,
FIG-MOE-5919,2012-09-01 00:00:00,8208,,Haganai (Boku wa Tomodachi ga Sukunai),Sena Kashiwazaki,Teruyuki ,Approx. 1/8,Approx. H245mm (Approx. 210mm up to head),
FIGURE-014751,2016-05-01 00:00:00,12744,Broccoli,Sword Art Online,Asuna Yuuki(Asuna/Titania),Musasabi YUKO Knead,1/7,Approx. 11cm,"Main Part: ATBC-PVC, ABS / Base: ABS"
HOB-FIG-9479,2008-09-01 00:00:00,10800,Amie-Grand,Gunslinger Girl,,Hiroshi Morikawa GALATEA,1/8,H12cm,
FIGURE-049777,,16500,PULCHRA,Hachigatsu no Cinderella Nine,Akane Ukita,moineau ,1/7,Approx. 221mm,PVC/ABS
FIG-MOE-1488,2010-04-01 00:00:00,21780,Musashiya,Martian Successor Nadesico,Ruri Hoshino,Ushio Karumagi ,,H32cm,
FIGURE-036080,2018-09-01 00:00:00,21780,Q-six,"""Senran Kagura"" Series",Yumi,Takayuki Shiragami Yukishiro,1/6,Approx. H27.5cm (ice parts included),Polystone
FIGURE-032607,2018-10-01 00:00:00,14259,Max Factory,Kantai Collection -Kan Colle-,Iowa(Iowa),Hiroshi Sakurazensen,1/8,Approx. H135mm,
FIGURE-053031-R,2020-04-01 00:00:00,15180,Alphamax,Date A Live,Kurumi Tokisaki,MOON ,1/7,Approx. H24cm (excluding base),PVC
FIGURE-015394,2016-05-01 00:00:00,20800,FREEing,High School D x D NEW,Akeno Himejima,FREEing ,1/4,Approx. L300 mm,
FIGURE-035312,2018-05-01 00:00:00,15984,Q-six,Mashumaro Imouto Sakkyubasu,Saki Tsukikawa,Nollgreco Q-six,1/6,Approx. H25cm,
FIG-MOE-8934,2013-09-01 00:00:00,9051,,FAIRY TAIL,Lucy Heartfilia,MASA ,1/7,Approx. H210mm,
FIG-MOE-0888,2009-08-01 00:00:00,9504,First Class,PRISM ARK,Sister Hell,,,Approx. H230mm (not including weapons) (non-scale),
FIGURE-019117,2016-10-01 00:00:00,19580,Kotobukiya,"""Dungeon Travelers"" Series",Sasara Kusugawa,Ming-Chi Chiu ,1/6,Approx. 250mm,"PVC (non-phthalate), ABS"
FIG-MOE-5062-R,2012-05-01 00:00:00,7480,Kotobukiya,Shining Blade,Sakuya,Keijirou Togita ,Approx. 215mm,,
FIGURE-042319,2018-12-01 00:00:00,2000,Banpresto,Puella Magi Madoka Magica,Homura Akemi,,,"Approx. H33cm, Main part Approx. H22cm",
FIGURE-019210,2016-06-01 00:00:00,12744,Tsukuru (no) mori,Utawarerumono,Nekone,2.5 Jigen Factory ,1/7,Approx. H190mm,PVC
FIG-MOE-2939,2012-09-01 00:00:00,8208,amiami ZERO,Issho ni Training,Hinako,MELTING NEURON ,1/7,Approx. H18cm,
FIGURE-013814,2016-04-01 00:00:00,10800,FREEing,Plastic Memories,Isla,Yokoyama ,1/8,Approx. 110mm,
FIGURE-051922,2020-07-01 00:00:00,17380,Q-six,,,Kaoru Sakaki Wonderful Works,1/6,Approx. H27cm,PVC
FIGURE-023151,2017-05-01 00:00:00,12960,Daiki Kogyo,Kimomen demo Kyokon nara School Caste no Chouten ni Tateru!?,Miki Kikuchi,Shunzo- ,1/6,Approx. H240mm,
HOB-FIG-4530B,2007-05-01 00:00:00,7344,Toy's Planning,Moeyo! Akibajin Blog,Fiitan,JUN E.V.,,Approx. 200mm,"PVC, ABS"
FIGURE-020382-R,2017-01-01 00:00:00,16500,AMAKUNI,Puella Magi Madoka Magica,Homura Akemi,Grizzly Panda ,1/7,Approx. H17cm,
TCG-B-1172-B,2003-04-01 00:00:00,2700,Spring,Tsukihime,Kohaku,,,,
HOB-FIG-7302,2009-01-01 00:00:00,1944,Organic,Busou Renkin,Tokiko Tsumura,,,Appx. 120mm Tall,
FIGURE-039045,2019-01-01 00:00:00,17380,PULCHRA,"""Date A Live"" Series",Tohka Yatogami,moineau ,1/7,Approx. 250mm (including base),"PVC, ABS"
FIGURE-035796,2018-10-01 00:00:00,14080,Alter,"""Love Live!"" Series",Kanan Matsuura,Ryo Hashimoto ,1/7,Approx. H230mm,
FIG-MOE-3215,2012-12-01 00:00:00,10780,Kotobukiya,"""Lyrical Nanoha"" Series",,Haruhi Murakami ,1/8,Approx. H160mm,
FIGURE-017911,2017-01-01 00:00:00,17600,Max Factory,"""VOCALOID"" Series",Hatsune Miku,Grizzry Panda ,1/7,Approx. H235mm,ABS & PVC
HOB-FIG-1751A,2005-02-01 00:00:00,2808,Epoch,Tainiidou,Nekoko,Tainiidou TinyKid C-Works,,Approx. H150mm,
FIGURE-034294,2020-05-01 00:00:00,8800,Kotobukiya,Made in Abyss,Nanachi,Tomomi Tsuchiya ,,Approx. H135mm (non-scale),
HOB-FIG-5073,2007-06-01 00:00:00,5965,Alter,Quiz Magic Academy,Ruqia,YOSHI Trepang,1/8,Approx. H200mm,
FIGURE-019973,2016-12-01 00:00:00,6480,WAVE,Girls und Panzer,Chiyomi Anzai(Anchovy),Akisame ,1/10,Approx. H160mm,
HOB-FIG-3445,2006-05-01 00:00:00,5184,Toy's Works,Super Robot Wars,Ryune Zoldark,Genpachi Tokaimura Mokei no Oukoku,1/8,Approx. H20cm,
HOB-FIG-4575A,2007-01-01 00:00:00,4644,Ohtsuka Kikaku,CLANNAD,Tomoyo Sakagami,Noriyasu Tsushima Fig.1,1/8,,
FIGURE-050378,2019-11-01 00:00:00,13750,MegaHouse,"""Gundam"" Series",Cima Garahau,Norio Kibayashi ,1/8,Approx. H220mm,
FIGURE-026407,2017-05-01 00:00:00,12204,Broccoli,Amairo Islenauts,Masaki Gaillard,Ryo Hashimoto ,1/8,Approx. H22cm,"Main Part: ATBC-PVC, ABS / Base: ABS"
FIG-MOE-2520,2011-06-01 00:00:00,7992,Griffon Enterprises,Hello Kitty,Shizuku Minase,Hiromitsu Morikawa ,Size: Approx. H18cm (NON Scale),,
FIGURE-052424,2020-05-01 00:00:00,15180,KADOKAWA,Saekano: How to Raise a Boring Girlfriend,Megumi Kato,MIC ,1/7,Approx. L240mm,PVC
FIGURE-006694,2015-05-01 00:00:00,8424,Penguin Parade,Galilei Donna,Hazuki Ferrari,"Design COCO, Penguin Parade ",1/8,Approx. H200mm,
FIGURE-003766,2014-01-01 00:00:00,7776,,"Magical Emi, the Magic Star",Mai Kazuki(Magical Emi),GAKU Arai Kogyo,,Approx. H200mm with base,"PVC, ABS"
HOB-FIG-6985,2008-01-01 00:00:00,6994,Art Storm,Taisen Hot Gimmick,Novia,,Size: Approx. 150mm Tall (1/7 Scale),,
HOB-FIG-2980,2006-01-01 00:00:00,14080,Bandai,Mobile Suit Gundam SEED,Lacus Clyne,Vice Vice,,,
FIGURE-050018-R,2019-07-01 00:00:00,780,Banpresto,"""Sword Art Online"" Series",Asuna Yuuki(Asuna/Titania),,,Approx. 22cm,
FIG-MOE-0716,2009-06-01 00:00:00,21780,Musashiya,Martian Successor Nadesico,,Ushio Karumagi ,1/5,Approx. L32cm,
FIG-MOE-0937-R,2009-09-01 00:00:00,12980,CM's Corporation,Magical Girl Lyrical Nanoha StrikerS,Nanoha Takamachi,,,Approx. H210mm,"PVC, ABS, Nylon"
FIGURE-022716,2017-01-01 00:00:00,14080,ques Q,SHOW BY ROCK!!,Cyan,"Keroriso, Yae Framework",1/7,Approx. H24cm,
HOB-FIG-8163-R,2009-09-01 00:00:00,7124,Good Smile Company,Chu x Chu Idol,Chuchu Astram,Hajime Kaiya Acetone,1/8,Approx. H215mm,
FIGURE-030374,2017-06-01 00:00:00,14080,PULCHRA,"""High School D x D"" Series",Koneko Toujou,b-full PMG,1/7,Approx. H182mm,
FIGURE-055906-R,2020-02-01 00:00:00,1580,SEGA Interactive,Touhou Project,Youmu Konpaku,,,Approx. H21cm,
HOB-FIG-2545B,2005-09-01 00:00:00,3300,Kaiyodo,Tenjo Tenge,Aya Natsume,BOME Kaiyodo,,Approx. H20cm,PVC/ Base: ABS
FIG-MOE-06391-R,,2570,Takara Tomy A.R.T.S,ZOIDS,Fine Eleceene Lyney,,,Approx. H14cm,"Non-phthalate PVC, ABS, other"
FIGURE-035606,2018-05-01 00:00:00,14080,Kotobukiya,Girls und Panzer,Miho Nishizumi,Ryo Hashimoto ,1/7,Approx. H225mm,
HOB-FIG-5925,2007-11-01 00:00:00,5657,Chara-ani,Da Capo,Nemu Asakura,Hazuki Musouken,,Approx. H19cm,"PVC, ABS"
FIG-MOE-6155,2012-10-01 00:00:00,4104,Q-six,Tsundero,Yuna Tachibana,Takayuki Shiragami Yukishiro,1/10,Approx. H16cm,PVC
FIG-MOE-1810,2011-01-01 00:00:00,6994,Max Factory,Shining Wind,Clalaclan Philias,Nanako ,1/7,Approx. H240mm,
HOB-FIG-4016,2006-09-01 00:00:00,3780,Takara Tomy A.R.T.S,Rozen Maiden,Suigintou,,,Appx. 15cm Tall,"PVC, ABS, other"
FIG-MOE-07896-R,2011-11-01 00:00:00,7700,Kotobukiya,"""Evangelion"" Series",Mari Makinami Illustrious,,1/8,Approx. H200mm,
HOB-FIG-2361,2011-05-01 00:00:00,5280,Kotobukiya,Neon Genesis Evangelion,Asuka Langley Soryu(Asuka Langley Shikinami),Naoki Nishimura Pilot,1/7,Approx. H180mm,
HOB-FIG-9263,2010-09-01 00:00:00,6048,Movic,Asu no Yoichi!,Ayame Ikaruga,Masanori Tanaka Jet Stream,1/7,Approx. L210mm,
FIGURE-025060-R,2017-06-01 00:00:00,11880,WAVE,Girls und Panzer,Saori Takebe,Zuiko ,1/8,Approx. H21cm,PVC (partially ABS)
HOB-FIG-6709,2008-12-01 00:00:00,4536,Kotobukiya,Moetan,Ink Nijihara,Hiromitsu Morikawa ,,Approx. H190mm,
FIG-MOE-04030-R,2011-09-01 00:00:00,5780,Banpresto,Code Geass: Lelouch of the Rebellion,C.C.,another one ,,Approx. H250mm,
FIGURE-054740,2020-10-01 00:00:00,17380,SkyTube,T2 Art Girls,Wan Fu Nyan,EGG ,1/6,Approx. H27.5cm (including base),PVC
FIGURE-057131,2021-07-01 00:00:00,16800,Max Factory,Saekano: How to Raise a Boring Girlfriend,Utaha Kasumigaoka(Utako Kasumi),"Yusuke Masaki, Max Factory ",1/7,Approx. H210mm (Tip of the Head),ABS & PVC
FIGURE-024396,2017-08-01 00:00:00,15120,Flare,"""Fate"" Series",Elizabeth Bathory(Lancer/Caster/Saber),French Doll Cerberus Project TM,,Approx. H245mm,
FIG-MOE-3094-R,2011-09-01 00:00:00,7480,Griffon Enterprises,ToHeart2 XRATED,Tamaki Kosaka,Yuuji Asano ,1/7,Approx. H11cm,
FIG-MOE-2333,2011-04-01 00:00:00,7920,Griffon Enterprises,Touhou Project,Momiji Inubashiri,Akio Akiyama ,1/8,Approx. H18.5cm,
FIGURE-002260,2013-12-01 00:00:00,13200,,,,Hikaru ,1/7,,"Candy Resin, PVC, Polyresin, PU"
FIGURE-028200-R,2017-02-01 00:00:00,980,Banpresto,Puella Magi Madoka Magica,Kyoko Sakura,,,Approx. 14cm,
HOB-FIG-3985,2006-11-01 00:00:00,6076,Alter,Fate/hollow ataraxia,Altria Pendragon(Saber/Saber Lily/Saber Alter),Ikuma Kuramoto Millimeter Modeling,1/6,,
FIG-MOE-0902-R,2010-03-01 00:00:00,8580,Alter,Fate/unlimited codes,Altria Pendragon(Saber/Saber Lily/Saber Alter),Toshiyuki Yagyu ,1/8,Approx. H220mm,
FIG-MOE-0935,2009-11-01 00:00:00,4320,WAVE,The Girl Who Leapt Through Space,Mutsumi Shimoyama,Clumsy Zero ,1/10,Approx. H165mm,PVC (Partly ABS)
FIG-MOE-0250,2009-10-01 00:00:00,8200,Good Smile Company,Unity Marriage -Futari no Hanayome-,Unity Mei(Mei Kazami),Hajime Kaiya Acetone,Size: Appx. 200mm Tall (1/8 Scale),,
FIGURE-001315,2013-10-01 00:00:00,8208,Chara-ani,Oreimo 2 (My Little Sister Can't Be This Cute 2nd Season),Kuroneko(Ruri Gokou),,1/8,Approx. H190mm,"PVC, ABS"
FIGURE-026707,2017-07-01 00:00:00,18900,Daiki Kogyo,Walkure Romanze,Ayako Hiiragi,Toshiro ,1/6,Approx. H275mm,
FIGURE-001845-R,2014-03-01 00:00:00,9219,FREEing,Puella Magi Madoka Magica,Madoka Kaname,minarai ,1/8,Approx. H180mm,
FIGURE-051715,2019-12-01 00:00:00,10450,Our Treasure,"""Evangelion"" Series",Rei Ayanami,Miki Ousaka Cherry Blossom,1/8,,PVC & ABS
FIGURE-003385,2019-03-01 00:00:00,4536,WAVE,Vividred Operation,Wakaba Saegusa,Hideaki Oya Rebellion,1/10,Approx. H165mm,
FIG-MOE-6224,2012-09-01 00:00:00,7344,,Baka to Test to Shokanjuu,Hideyoshi Kinoshita,Yukio Okumura the poppy puppet,1/7,Approx. H14.5cm,
FIG-MOE-2514,2011-09-01 00:00:00,7344,SkyTube,"""Hyakka Ryoran"" Series",Jubei Yagyu,2% ,1/7,Approx. H15cm,
FIGURE-018817,2016-09-01 00:00:00,3544,FREEing,PriPara,Sion Todo,FREEing ,1/12,Approx. H65 mm,
FIGURE-018654,2016-09-01 00:00:00,10800,Kotobukiya,"""Yu-Gi-Oh!"" Series",Apple Magician Girl,Tsukuru Shirahige ,1/7,Approx. H220mm,"PVC, ABS"
HOB-FIG-4510,2006-12-01 00:00:00,3024,Takara Tomy A.R.T.S,Higurashi no Naku Koro ni (When They Cry),Mion Sonozaki,,,Approx. H15cm,"PVC, ABS, other"
FIG-MOE-6852,2013-01-01 00:00:00,6696,,Men in Black,Agent G,GILL GILL ,1/7,Approx. H210mm,
FIG-MOE-0678,2009-08-01 00:00:00,7884,WAVE,Fortune Arterial,Kanade Yuki,zenko Iousen,1/7,Approx. H210mm,
FIGURE-035099,2020-04-01 00:00:00,16280,Licorne,"""THE IDOLM@STER"" Series",Frederica Miyamoto,Chikai ,1/8,,PVC & ABS
FIGURE-031248,,14580,Griffon Enterprises,Original Character: Koutaro,,TEAM GENESIS ,1/6,Approx. H14.5cm,"PVC, ABS"
FIGURE-037036,2018-05-01 00:00:00,13500,Plum,Is the order a rabbit? (Gochuumon wa Usagi desu ka?),Rize Tedeza(Rize),,1/7,Approx. H230mm,PVC
FIG-MOE-1590,2010-05-01 00:00:00,9720,MegaHouse,Queen's Blade,,,1/8,"Book: B5 Size, Fully in Color, Hard Cover Style",
